Term,Document,Frequency
bất,Lap_trinh_ham_hoc_voi_Haskell.txt,2
bất,Loi_ich_cua_JavaScript.txt,1
bất,Su_phat_trien_cua_Java.txt,1
toán,Lap_trinh_ham_hoc_voi_Haskell.txt,4
học,Lap_trinh_ham_hoc_voi_Haskell.txt,2
học,Ngon_ngu_Go.txt,1
học,Python_trong_khoa_hoc_du_lieu.txt,4
chế,Lap_trinh_ham_hoc_voi_Haskell.txt,1
đánh,Lap_trinh_ham_hoc_voi_Haskell.txt,1
giá,Lap_trinh_ham_hoc_voi_Haskell.txt,1
lười,Lap_trinh_ham_hoc_voi_Haskell.txt,1
tạo,Lap_trinh_ham_hoc_voi_Haskell.txt,1
tạo,Loi_ich_cua_JavaScript.txt,2
mã,Lap_trinh_ham_hoc_voi_Haskell.txt,1
mã,Loi_ich_cua_JavaScript.txt,1
mã,Su_phat_trien_cua_Java.txt,1
nguồn,Lap_trinh_ham_hoc_voi_Haskell.txt,1
nguồn,Loi_ich_cua_JavaScript.txt,1
gọn,Lap_trinh_ham_hoc_voi_Haskell.txt,2
dễ,Lap_trinh_ham_hoc_voi_Haskell.txt,1
dễ,Ngon_ngu_Go.txt,2
dễ,Python_trong_khoa_hoc_du_lieu.txt,1
đoán,Lap_trinh_ham_hoc_voi_Haskell.txt,1
nổi,Lap_trinh_ham_hoc_voi_Haskell.txt,1
nổi,Python_trong_khoa_hoc_du_lieu.txt,1
bật,Lap_trinh_ham_hoc_voi_Haskell.txt,1
bật,Python_trong_khoa_hoc_du_lieu.txt,1
lazy,Lap_trinh_ham_hoc_voi_Haskell.txt,1
hoãn,Lap_trinh_ham_hoc_voi_Haskell.txt,1
logic,Lap_trinh_ham_hoc_voi_Haskell.txt,1
điểm,Lap_trinh_ham_hoc_voi_Haskell.txt,1
điểm,Ngon_ngu_Go.txt,1
điểm,Ngon_ngu_kieu_tinh_va_dong.txt,1
biên,Lap_trinh_ham_hoc_voi_Haskell.txt,1
biên,Ngon_ngu_Go.txt,2
biên,Ngon_ngu_kieu_tinh_va_dong.txt,2
dịch,Lap_trinh_ham_hoc_voi_Haskell.txt,1
dịch,Ngon_ngu_Go.txt,3
dịch,Ngon_ngu_kieu_tinh_va_dong.txt,2
tăng,Lap_trinh_ham_hoc_voi_Haskell.txt,1
tăng,Loi_ich_cua_JavaScript.txt,1
tăng,Ngon_ngu_Go.txt,1
tăng,Ngon_ngu_kieu_tinh_va_dong.txt,1
an,Lap_trinh_ham_hoc_voi_Haskell.txt,1
an,Ngon_ngu_kieu_tinh_va_dong.txt,2
toàn,Lap_trinh_ham_hoc_voi_Haskell.txt,1
toàn,Loi_ich_cua_JavaScript.txt,2
toàn,Ngon_ngu_kieu_tinh_va_dong.txt,2
đây,Lap_trinh_ham_hoc_voi_Haskell.txt,1
nhà,Lap_trinh_ham_hoc_voi_Haskell.txt,2
nghiên,Lap_trinh_ham_hoc_voi_Haskell.txt,1
cứu,Lap_trinh_ham_hoc_voi_Haskell.txt,1
chính,Lap_trinh_ham_hoc_voi_Haskell.txt,1
xác,Lap_trinh_ham_hoc_voi_Haskell.txt,1
mở,Lap_trinh_ham_hoc_voi_Haskell.txt,1
mở,Ngon_ngu_Go.txt,1
rộng,Lap_trinh_ham_hoc_voi_Haskell.txt,1
rộng,Loi_ich_cua_JavaScript.txt,1
rộng,Ngon_ngu_Go.txt,1
rộng,Su_phat_trien_cua_Java.txt,1
phục,Lap_trinh_ham_hoc_voi_Haskell.txt,1
khoa,Lap_trinh_ham_hoc_voi_Haskell.txt,1
khoa,Python_trong_khoa_hoc_du_lieu.txt,2
web,Lap_trinh_ham_hoc_voi_Haskell.txt,1
web,Loi_ich_cua_JavaScript.txt,3
web,Su_phat_trien_cua_Java.txt,1
song,Lap_trinh_ham_hoc_voi_Haskell.txt,2
javascript,Loi_ich_cua_JavaScript.txt,5
không,Loi_ich_cua_JavaScript.txt,1
không,Su_phat_trien_cua_Java.txt,1
phía,Loi_ich_cua_JavaScript.txt,1
khách,Loi_ich_cua_JavaScript.txt,1
mà,Loi_ich_cua_JavaScript.txt,1
trở,Loi_ich_cua_JavaScript.txt,2
trở,Python_trong_khoa_hoc_du_lieu.txt,1
trở,Su_phat_trien_cua_Java.txt,1
diện,Loi_ich_cua_JavaScript.txt,2
framework,Loi_ich_cua_JavaScript.txt,2
framework,Python_trong_khoa_hoc_du_lieu.txt,1
framework,Su_phat_trien_cua_Java.txt,1
xây,Loi_ich_cua_JavaScript.txt,1
xây,Ngon_ngu_Go.txt,1
xây,Python_trong_khoa_hoc_du_lieu.txt,1
dựng,Loi_ich_cua_JavaScript.txt,1
dựng,Ngon_ngu_Go.txt,1
dựng,Python_trong_khoa_hoc_du_lieu.txt,1
ban,Loi_ich_cua_JavaScript.txt,1
đầu,Loi_ich_cua_JavaScript.txt,1
duyệt,Loi_ich_cua_JavaScript.txt,2
node,Loi_ich_cua_JavaScript.txt,1
js,Loi_ich_cua_JavaScript.txt,2
server,Loi_ich_cua_JavaScript.txt,1
side,Loi_ich_cua_JavaScript.txt,1
nhờ,Loi_ich_cua_JavaScript.txt,1
nhờ,Python_trong_khoa_hoc_du_lieu.txt,1
nhờ,Su_phat_trien_cua_Java.txt,2
chạy,Loi_ich_cua_JavaScript.txt,1
chạy,Ngon_ngu_kieu_tinh_va_dong.txt,1
chạy,Su_phat_trien_cua_Java.txt,2
mọi,Loi_ich_cua_JavaScript.txt,1
trải,Loi_ich_cua_JavaScript.txt,1
nghiệm,Loi_ich_cua_JavaScript.txt,1
nghiệm,Python_trong_khoa_hoc_du_lieu.txt,1
dùng,Loi_ich_cua_JavaScript.txt,1
động,Loi_ich_cua_JavaScript.txt,1
động,Ngon_ngu_Go.txt,2
động,Ngon_ngu_kieu_tinh_va_dong.txt,3
động,Su_phat_trien_cua_Java.txt,1
spa,Loi_ich_cua_JavaScript.txt,1
single,Loi_ich_cua_JavaScript.txt,1
page,Loi_ich_cua_JavaScript.txt,1
application,Loi_ich_cua_JavaScript.txt,1
sinh,Loi_ich_cua_JavaScript.txt,1
sinh,Python_trong_khoa_hoc_du_lieu.txt,1
sinh,Su_phat_trien_cua_Java.txt,1
thái,Loi_ich_cua_JavaScript.txt,1
thái,Python_trong_khoa_hoc_du_lieu.txt,1
thái,Su_phat_trien_cua_Java.txt,1
hàng,Loi_ich_cua_JavaScript.txt,1
hàng,Su_phat_trien_cua_Java.txt,1
ngàn,Loi_ich_cua_JavaScript.txt,1
react,Loi_ich_cua_JavaScript.txt,1
angular,Loi_ich_cua_JavaScript.txt,1
vue,Loi_ich_cua_JavaScript.txt,1
tốc,Loi_ich_cua_JavaScript.txt,1
go,Ngon_ngu_Go.txt,5
google,Ngon_ngu_Go.txt,2
kết,Ngon_ngu_Go.txt,1
đơn,Ngon_ngu_Go.txt,3
đơn,Python_trong_khoa_hoc_du_lieu.txt,2
giản,Ngon_ngu_Go.txt,3
giản,Python_trong_khoa_hoc_du_lieu.txt,2
đám,Ngon_ngu_Go.txt,1
mây,Ngon_ngu_Go.txt,1
trúc,Ngon_ngu_Go.txt,1
trúc,Su_phat_trien_cua_Java.txt,1
microservices,Ngon_ngu_Go.txt,2
thu,Ngon_ngu_Go.txt,1
gom,Ngon_ngu_Go.txt,1
rác,Ngon_ngu_Go.txt,1
tự,Ngon_ngu_Go.txt,2
hóa,Ngon_ngu_Go.txt,1
hóa,Python_trong_khoa_hoc_du_lieu.txt,1
hay,Ngon_ngu_Go.txt,1
hay,Ngon_ngu_kieu_tinh_va_dong.txt,1
golang,Ngon_ngu_Go.txt,1
thiết,Ngon_ngu_Go.txt,1
thiết,Su_phat_trien_cua_Java.txt,1
kế,Ngon_ngu_Go.txt,1
kế,Su_phat_trien_cua_Java.txt,1
ưu,Ngon_ngu_Go.txt,1
ưu,Ngon_ngu_kieu_tinh_va_dong.txt,1
ưu,Su_phat_trien_cua_Java.txt,1
goroutines,Ngon_ngu_Go.txt,1
mạng,Ngon_ngu_Go.txt,1
cloud,Ngon_ngu_Go.txt,1
computing,Ngon_ngu_Go.txt,1
cú,Ngon_ngu_Go.txt,1
cú,Python_trong_khoa_hoc_du_lieu.txt,2
giảm,Ngon_ngu_Go.txt,1
thiểu,Ngon_ngu_Go.txt,1
runtime,Ngon_ngu_Go.txt,1
runtime,Ngon_ngu_kieu_tinh_va_dong.txt,1
càng,Ngon_ngu_Go.txt,1
thử,Ngon_ngu_Go.txt,1
thử,Python_trong_khoa_hoc_du_lieu.txt,1
tích,Ngon_ngu_Go.txt,1
tích,Python_trong_khoa_hoc_du_lieu.txt,2
ci,Ngon_ngu_Go.txt,1
cd,Ngon_ngu_Go.txt,1
dàng,Ngon_ngu_Go.txt,1
dàng,Python_trong_khoa_hoc_du_lieu.txt,1
vận,Ngon_ngu_Go.txt,1
hành,Ngon_ngu_Go.txt,1
quy,Ngon_ngu_Go.txt,1
quy,Ngon_ngu_kieu_tinh_va_dong.txt,1
quy,Su_phat_trien_cua_Java.txt,1
tra,Ngon_ngu_kieu_tinh_va_dong.txt,3
tĩnh,Ngon_ngu_kieu_tinh_va_dong.txt,4
sớm,Ngon_ngu_kieu_tinh_va_dong.txt,1
tối,Ngon_ngu_kieu_tinh_va_dong.txt,1
tối,Su_phat_trien_cua_Java.txt,1
linh,Ngon_ngu_kieu_tinh_va_dong.txt,3
hoạt,Ngon_ngu_kieu_tinh_va_dong.txt,3
gặp,Ngon_ngu_kieu_tinh_va_dong.txt,1
quá,Ngon_ngu_kieu_tinh_va_dong.txt,1
ngay,Ngon_ngu_kieu_tinh_va_dong.txt,1
gây,Ngon_ngu_kieu_tinh_va_dong.txt,1
khó,Ngon_ngu_kieu_tinh_va_dong.txt,1
cả,Ngon_ngu_kieu_tinh_va_dong.txt,1
hai,Ngon_ngu_kieu_tinh_va_dong.txt,1
bán,Ngon_ngu_kieu_tinh_va_dong.txt,1
vừa,Ngon_ngu_kieu_tinh_va_dong.txt,2
nhóm,Ngon_ngu_kieu_tinh_va_dong.txt,1
bảo,Ngon_ngu_kieu_tinh_va_dong.txt,1
bảo,Su_phat_trien_cua_Java.txt,1
trì,Ngon_ngu_kieu_tinh_va_dong.txt,1
python,Python_trong_khoa_hoc_du_lieu.txt,5
ưa,Python_trong_khoa_hoc_du_lieu.txt,1
chuộng,Python_trong_khoa_hoc_du_lieu.txt,1
numpy,Python_trong_khoa_hoc_du_lieu.txt,2
pandas,Python_trong_khoa_hoc_du_lieu.txt,2
tensorflow,Python_trong_khoa_hoc_du_lieu.txt,2
phân,Python_trong_khoa_hoc_du_lieu.txt,2
nhất,Python_trong_khoa_hoc_du_lieu.txt,1
nhất,Su_phat_trien_cua_Java.txt,1
matplotlib,Python_trong_khoa_hoc_du_lieu.txt,1
scikit,Python_trong_khoa_hoc_du_lieu.txt,1
learn,Python_trong_khoa_hoc_du_lieu.txt,1
kê,Python_trong_khoa_hoc_du_lieu.txt,1
deep,Python_trong_khoa_hoc_du_lieu.txt,1
learning,Python_trong_khoa_hoc_du_lieu.txt,1
pytorch,Python_trong_khoa_hoc_du_lieu.txt,1
luôn,Python_trong_khoa_hoc_du_lieu.txt,1
mới,Python_trong_khoa_hoc_du_lieu.txt,1
mới,Su_phat_trien_cua_Java.txt,1
khai,Python_trong_khoa_hoc_du_lieu.txt,1
java,Su_phat_trien_cua_Java.txt,6
mật,Su_phat_trien_cua_Java.txt,1
cấu,Su_phat_trien_cua_Java.txt,1
viết,Su_phat_trien_cua_Java.txt,1
lần,Su_phat_trien_cua_Java.txt,1
kỳ,Su_phat_trien_cua_Java.txt,1
đâu,Su_phat_trien_cua_Java.txt,1
doanh,Su_phat_trien_cua_Java.txt,2
nghiệp,Su_phat_trien_cua_Java.txt,2
android,Su_phat_trien_cua_Java.txt,1
châm,Su_phat_trien_cua_Java.txt,1
write,Su_phat_trien_cua_Java.txt,1
once,Su_phat_trien_cua_Java.txt,1
run,Su_phat_trien_cua_Java.txt,1
anywhere,Su_phat_trien_cua_Java.txt,1
jvm,Su_phat_trien_cua_Java.txt,1
rãi,Su_phat_trien_cua_Java.txt,1
di,Su_phat_trien_cua_Java.txt,1
nghìn,Su_phat_trien_cua_Java.txt,1
spring,Su_phat_trien_cua_Java.txt,1
hibernate,Su_phat_trien_cua_Java.txt,1
bền,Su_phat_trien_cua_Java.txt,1
vững,Su_phat_trien_cua_Java.txt,1
ngừng,Su_phat_trien_cua_Java.txt,1
phiên,Su_phat_trien_cua_Java.txt,1
luồng,Su_phat_trien_cua_Java.txt,1
